epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3332,2.06301,1.91352,1.15765,0.67394,0.69295,0.72347,0.33263,1.81285,1.27575,1.10523,0.000662005,0.000662005,0.000662005
2,99.9551,1.90036,1.33733,1.08991,0.64389,0.66051,0.68643,0.31644,1.78022,1.32516,1.07831,0.00130236,0.00130236,0.00130236
3,145.73,1.86356,1.2378,1.08222,0.60388,0.59962,0.61699,0.22609,2.14613,1.36329,1.13581,0.00191632,0.00191632,0.00191632
4,192.024,1.85357,1.19306,1.07364,0.68921,0.70271,0.75382,0.33816,1.87267,1.11665,1.09555,0.0018812,0.0018812,0.0018812
5,238.175,1.83098,1.14623,1.06517,0.7393,0.74031,0.80543,0.38349,1.73355,1.02907,1.06118,0.0018416,0.0018416,0.0018416
6,284.329,1.81088,1.11715,1.05759,0.7033,0.69721,0.75593,0.33889,1.826,1.1133,1.07799,0.001802,0.001802,0.001802
7,330.258,1.81277,1.09846,1.06316,0.71513,0.67332,0.75539,0.33393,1.8493,1.09255,1.0878,0.0017624,0.0017624,0.0017624
8,375.369,1.8063,1.09259,1.05482,0.74441,0.76427,0.81887,0.40184,1.6998,0.97524,1.05045,0.0017228,0.0017228,0.0017228
9,421.58,1.79304,1.07288,1.04961,0.72218,0.76593,0.8048,0.38855,1.72048,1.02826,1.05312,0.0016832,0.0016832,0.0016832
10,466.842,1.77817,1.06349,1.04875,0.76208,0.76591,0.83099,0.40072,1.72455,0.97681,1.05118,0.0016436,0.0016436,0.0016436
11,511.903,1.77822,1.05096,1.05301,0.74684,0.71308,0.80009,0.3761,1.76286,1.01286,1.05605,0.001604,0.001604,0.001604
12,557.304,1.76534,1.04558,1.04546,0.75104,0.77264,0.82693,0.40471,1.70762,0.99263,1.0522,0.0015644,0.0015644,0.0015644
13,601.941,1.75748,1.03213,1.04145,0.77097,0.7692,0.84097,0.41502,1.69218,0.95323,1.03922,0.0015248,0.0015248,0.0015248
14,647.127,1.75635,1.0353,1.04657,0.75502,0.73665,0.81936,0.4001,1.69954,1.04029,1.04362,0.0014852,0.0014852,0.0014852
15,691.609,1.7525,1.02946,1.03685,0.75032,0.75356,0.82228,0.39207,1.75589,1.00934,1.05161,0.0014456,0.0014456,0.0014456
16,736.061,1.75472,1.01415,1.03989,0.77691,0.78348,0.84923,0.41297,1.7196,0.94718,1.04339,0.001406,0.001406,0.001406
17,781.181,1.73752,1.00838,1.03683,0.76637,0.79055,0.8476,0.42963,1.65975,0.93032,1.03236,0.0013664,0.0013664,0.0013664
18,826.1,1.74647,1.00954,1.03757,0.77291,0.76842,0.84561,0.42302,1.67699,0.93852,1.03643,0.0013268,0.0013268,0.0013268
19,871.114,1.73628,1.00431,1.03245,0.7817,0.79216,0.85586,0.43258,1.66896,0.91905,1.03979,0.0012872,0.0012872,0.0012872
20,916.032,1.72289,0.98533,1.03111,0.78558,0.8094,0.86914,0.43463,1.65757,0.93634,1.0316,0.0012476,0.0012476,0.0012476
21,960.192,1.71415,0.98403,1.02876,0.79175,0.786,0.8637,0.44019,1.64861,0.89837,1.02369,0.001208,0.001208,0.001208
22,1005.26,1.71886,0.97367,1.02814,0.79274,0.79793,0.86748,0.44023,1.63803,0.88552,1.02631,0.0011684,0.0011684,0.0011684
23,1049.63,1.71088,0.97392,1.02864,0.78554,0.793,0.86456,0.4429,1.63139,0.90151,1.02256,0.0011288,0.0011288,0.0011288
24,1094.53,1.70313,0.96623,1.02408,0.79228,0.79548,0.86766,0.44327,1.63631,0.87398,1.02388,0.0010892,0.0010892,0.0010892
25,1140.22,1.71458,0.96591,1.02714,0.7937,0.81268,0.86954,0.44726,1.63047,0.87493,1.02213,0.0010496,0.0010496,0.0010496
26,1185.59,1.69683,0.95477,1.02227,0.79822,0.81928,0.87713,0.45711,1.61863,0.86822,1.02019,0.00101,0.00101,0.00101
27,1231.04,1.69975,0.95428,1.02072,0.80085,0.79931,0.8728,0.45449,1.60951,0.86974,1.01784,0.0009704,0.0009704,0.0009704
28,1276.02,1.69912,0.96028,1.02308,0.80622,0.81179,0.88464,0.4528,1.63063,0.85333,1.01822,0.0009308,0.0009308,0.0009308
29,1320.79,1.68897,0.94706,1.02196,0.79275,0.79316,0.86577,0.45014,1.62033,0.86819,1.02146,0.0008912,0.0008912,0.0008912
30,1366.17,1.68618,0.93249,1.01558,0.80764,0.82005,0.88643,0.45323,1.63766,0.84959,1.01995,0.0008516,0.0008516,0.0008516
31,1410.99,1.67656,0.93418,1.01732,0.8054,0.81939,0.88441,0.46292,1.59988,0.84797,1.01168,0.000812,0.000812,0.000812
