epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2978,1.99912,1.74438,1.14224,0.70823,0.71491,0.76703,0.35167,1.77396,1.10677,1.06834,0.000662005,0.000662005,0.000662005
2,132.284,1.88915,1.20349,1.09335,0.70005,0.70394,0.75102,0.32705,1.85287,1.10662,1.1061,0.00130236,0.00130236,0.00130236
3,194.992,1.84548,1.16028,1.08148,0.70477,0.68771,0.74939,0.31897,1.90739,1.10702,1.11648,0.00191632,0.00191632,0.00191632
4,257.769,1.83281,1.12915,1.07387,0.72695,0.73835,0.79296,0.3658,1.7756,1.05221,1.07224,0.0018812,0.0018812,0.0018812
5,320.372,1.81292,1.09226,1.06602,0.72087,0.74236,0.78651,0.37638,1.75438,1.06392,1.07264,0.0018416,0.0018416,0.0018416
6,383.033,1.79479,1.07743,1.05999,0.75122,0.76149,0.81774,0.39441,1.71128,1.00849,1.05561,0.001802,0.001802,0.001802
7,445.104,1.79005,1.04265,1.05838,0.74412,0.74996,0.81081,0.39066,1.72365,1.01232,1.05456,0.0017624,0.0017624,0.0017624
8,507.052,1.78112,1.04763,1.05095,0.7626,0.77053,0.83364,0.40608,1.72892,0.9455,1.05788,0.0017228,0.0017228,0.0017228
9,569.137,1.76778,1.02646,1.04486,0.75941,0.76089,0.82576,0.39968,1.72836,0.97762,1.05447,0.0016832,0.0016832,0.0016832
10,630.822,1.758,1.01661,1.04468,0.7746,0.78617,0.84759,0.43391,1.65032,0.93745,1.03335,0.0016436,0.0016436,0.0016436
11,692.395,1.751,1.00871,1.04795,0.76421,0.7656,0.83069,0.41615,1.67151,0.94158,1.03903,0.001604,0.001604,0.001604
12,754.266,1.74176,1.01049,1.04184,0.77194,0.78345,0.84906,0.42144,1.66733,0.9321,1.03399,0.0015644,0.0015644,0.0015644
13,815.953,1.72758,0.98827,1.03547,0.78238,0.79706,0.86008,0.43274,1.64619,0.90418,1.02995,0.0015248,0.0015248,0.0015248
